data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,LCE,0.9,0.19277108433734935,0.11970935885119481,0.2658328098235041,2.324662025896386e-07,0.9287925696594427,0.9874446085672083,0.955,"[1354, 646]",318.0,281.0,0.17271990329027176,1.0,2.0,0.006193078671675067,0.05554147226435944,0.9112169458454594,-0.10266620661479976,0.1150523639581499
cifar10h,SP,0.1,0.02429596907785747,0.00981117640872748,0.03878076174698758,0.0010106957923700032,0.9550321199143469,1.0,0.958,"[132, 1868]",132.0,1123.0,6.288290023803711e-06,1.0,2.0,-0.013872454668426126,0.005165821175226037,0.007243639912642795,-0.023997278122443535,-0.0037476312144087177
cifar10h,SP,0.2,0.028930817610062887,0.012536075356330487,0.0453255598637953,0.0005429285717833165,0.9518561484918794,1.0,0.959,"[276, 1724]",276.0,1120.0,3.8236379623413086e-05,1.0,2.0,-0.017661857161051175,0.00541608505087553,0.0011101976484823852,-0.028277188797973002,-0.007046525524129351
cifar10h,SP,0.3,0.03687943262411353,0.018738207237364968,0.055020658010861964,6.764359461071608e-05,0.9470588235294117,1.0,0.962,"[470, 1530]",470.0,926.0,0.000156283378601,1.0,2.0,-0.013179674216122872,0.005289763752506808,0.012718954554261596,-0.023547420657761664,-0.00281192777448408
cifar10h,SP,0.4,0.042914979757085026,0.02228383619866503,0.063546123315505,4.5633399921824e-05,0.9461374911410347,1.0,0.9625,"[589, 1411]",589.0,930.0,0.00037434697151175,1.0,2.0,-0.022322953595644845,0.006450835442663501,0.0005392236675374678,-0.0349663587334598,-0.009679548457829886
cifar10h,SP,0.5,0.05772994129158515,0.03332741017698229,0.08213247240618796,3.5391815913090855e-06,0.9421296296296297,1.0,0.9655,"[704, 1296]",704.0,866.0,0.0007604956626891749,1.0,2.0,-0.018789662932835127,0.0062276395240717704,0.0025517157801942907,-0.03099561210871396,-0.006583713756956294
cifar10h,SP,0.6,0.07882352941176474,0.0503880775465888,0.10725898127694061,5.539836271128966e-08,0.9378827646544182,1.0,0.9695,"[857, 1143]",857.0,637.0,0.00175502896308895,1.0,2.0,-0.0057853260661503425,0.004872704019141308,0.2351121740048494,-0.015335650450990876,0.003764998318690191
cifar10h,SP,0.7,0.12199036918138051,0.08514460235839216,0.1588361360043687,8.633719446482148e-11,0.9304979253112033,1.0,0.974,"[1036, 964]",1036.0,385.0,0.004466637969016975,1.0,2.0,0.006743833455611137,0.0031919023564328983,0.0346183683535268,0.0004878197948341252,0.012999847116388148
cifar10h,SP,0.8,0.20654911838790924,0.1543891221879634,0.2587091145878553,8.407013662604194e-15,0.9284037558685446,1.0,0.977,"[1148, 852]",1148.0,302.0,0.00818689167499535,1.0,2.0,0.004638628763956154,0.004365984347957499,0.28803262039179023,-0.003918543315106134,0.013195800843018442
cifar10h,SP,0.9,0.31999999999999995,0.23415556500111795,0.40584443499888195,2.749968522526643e-13,0.925764192139738,0.9992383853769993,0.964,"[1313, 687]",58.0,42.0,0.018296644091606074,1.0,2.0,0.08792022843680636,0.08734509661674678,0.31413444190625295,-0.08327301515818863,0.25911347203180135
cifar10h,OVA,0.1,0.023770038695411833,0.009226863334031945,0.03831321405679172,0.0013578887253644354,0.9548872180451128,1.0,0.9585,"[138, 1862]",138.0,521.0,-0.94826754136011,1.0,2.0,0.0046971852903205935,0.007534153210079426,0.5329873261406772,-0.010069483655441917,0.019463854236083104
cifar10h,OVA,0.2,0.027177269919703484,0.010979380423386774,0.04337515941602028,0.0010072917688712614,0.952463768115942,1.0,0.959,"[275, 1725]",275.0,578.0,-0.8872566735371947,1.0,2.0,-0.00791692869596261,0.005541498089641271,0.1531013553366516,-0.018778065372057014,0.0029442079801317925
cifar10h,OVA,0.3,0.03502501786990708,0.016569770584147134,0.053480265155667034,0.0001994685266157367,0.9476038338658147,1.0,0.9615,"[435, 1565]",435.0,521.0,-0.8099484350532293,1.0,2.0,-0.005456095421361162,0.006238662061072871,0.3818123891701779,-0.017683648372780414,0.0067714575300580875
cifar10h,OVA,0.4,0.04503753127606347,0.023859441671401086,0.06621562088072569,3.0717819810455725e-05,0.9449606862044317,1.0,0.964,"[601, 1399]",517.0,287.0,-0.7149526327848434,1.0,2.0,0.002178328152916409,0.0028381520514365152,0.4427745655492792,-0.0033843476505476316,0.0077410039563804494
cifar10h,OVA,0.5,0.05572139303482582,0.03065465378494387,0.08078813228470785,1.3195001574360039e-05,0.9406099518459069,1.0,0.965,"[754, 1246]",254.0,185.0,-0.5951134227216244,1.0,2.0,-0.001504776771686922,0.0008414911192378615,0.07373946241134108,-0.003154069058703431,0.00014451551532958674
cifar10h,OVA,0.6,0.0789808917197452,0.04804774221238253,0.10991404122710793,5.605651374009511e-07,0.9365367180417045,1.0,0.968,"[897, 1103]",897.0,1102.0,-0.45544201135635376,1.0,2.0,0.004983216440732852,0.005313034078431904,0.34828402310433826,-0.005430139001627636,0.01539657188309334
