data,method,target_coverage,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
galaxyzoo,RS,0.7,"[1445, 555]",41.0,27.0,-0.9986321174248587,1.0,2.0,0.34249098685029344,0.33928261576856505,0.31275583122715434,-0.32249072063663553,1.0074726943372223
galaxyzoo,RS,0.8,"[1619, 381]",79.0,37.0,-0.9899120718240737,1.0,2.0,-0.12225701580843662,0.3052181419528898,0.6887469066335618,-0.7204735814643344,0.47595954984746114
galaxyzoo,RS,0.9,,,,,,,,,,,
galaxyzoo,CC,0.1,"[222, 1778]",157.0,1394.0,-0.0029137551784514594,1.0,2.0,-0.04004499155910679,0.06086901780487449,0.5106101530456953,-0.1593460742309881,0.07925609111277451
galaxyzoo,CC,0.2,"[409, 1591]",329.0,1196.0,-0.00028685331344604,1.0,2.0,0.01914473477772255,0.03913849090015422,0.6247329374722904,-0.05756529779582836,0.09585476735127346
galaxyzoo,CC,0.3,"[613, 1387]",545.0,1007.0,-3.0362606048583997e-05,1.0,2.0,0.011855031093137236,0.03111100016723779,0.7031617477111778,-0.049121408757668426,0.0728314709439429
galaxyzoo,CC,0.4,"[793, 1207]",726.0,833.0,-4.76837158203125e-07,1.0,2.0,0.02262778398066878,0.029675126647350572,0.44575159264881115,-0.03553439548480318,0.08078996344614074
galaxyzoo,CC,0.5,"[1037, 963]",975.0,603.0,2.2649765014648438e-05,1.0,2.0,0.01327581402754291,0.032124628459469826,0.6794163592469142,-0.049687300769748394,0.07623892882483421
galaxyzoo,CC,0.6,"[1236, 764]",1175.0,411.0,0.0008614063262938993,1.0,2.0,-0.0060453387633546685,0.039019730694439834,0.8768762624509143,-0.08252260561090882,0.07043192808419949
galaxyzoo,CC,0.7,"[1432, 568]",1368.0,229.0,0.006993025541305526,1.0,2.0,0.044445458099950375,0.06458586099488965,0.4913515230999117,-0.0821405033605436,0.17103141956044435
galaxyzoo,CC,0.8,"[1618, 382]",1536.0,121.0,0.04065734148025507,1.0,2.0,0.0740405705449505,0.1262621090480499,0.5576042444873889,-0.1734286158012962,0.3215097568911972
galaxyzoo,CC,0.9,"[1781, 219]",1645.0,119.0,0.15386456251144415,1.0,2.0,-0.06974923702497049,0.1498126529094747,0.6415187321108659,-0.36337664115594065,0.22387816710599967
galaxyzoo,DT,0.1,"[194, 1806]",40.0,48.0,0.377970656,1.0,2.0,0.06407669695440621,0.3030976218912271,0.8325703694198067,-0.5299837257521379,0.6581371196609503
galaxyzoo,DT,0.2,"[397, 1603]",49.0,78.0,0.9163379960000001,1.0,2.0,-0.1355179647719107,0.2775644849481575,0.6253801594720443,-0.6795343586577093,0.4084984291138879
galaxyzoo,DT,0.3,"[583, 1417]",26.0,39.0,0.9908463000000001,1.0,2.0,0.293480319611812,0.3631768350485738,0.4190375835831993,-0.4183331971026366,1.0052938363262607
galaxyzoo,DT,0.4,"[788, 1212]",155.0,1212.0,0.998690406,1.0,2.0,-0.10916027290302421,0.14224915081076303,0.4428509381326937,-0.38796348532352637,0.16964293951747794
galaxyzoo,DT,0.5,"[1003, 997]",370.0,997.0,0.9998073000000001,1.0,2.0,0.0670658868755345,0.12852810997879432,0.6018100280390002,-0.1848445796839055,0.3189763534349745
galaxyzoo,DT,0.6,"[1228, 772]",593.0,772.0,0.9999776380000001,1.0,2.0,-0.11687590182957497,0.1527861104332193,0.4442928740896509,-0.4163311756166442,0.18257937195749424
galaxyzoo,DT,0.7,"[1403, 597]",772.0,597.0,0.9999975,1.0,2.0,0.01891012152748106,0.1205515088208672,0.8753524923341944,-0.2173664940433813,0.2551867370983434
galaxyzoo,DT,0.8,,,,,,,,,,,
galaxyzoo,DT,0.9,,,,,,,,,,,
galaxyzoo,LCE,0.1,"[192, 1808]",134.0,298.0,-0.11434134840965264,1.0,2.0,-0.26959048546965847,0.12399278456609772,0.029686865453823198,-0.5126118775620438,-0.026569093377273062
galaxyzoo,LCE,0.2,"[369, 1631]",264.0,503.0,-0.09192587733268734,1.0,2.0,0.040440568074337824,0.10015996058719305,0.6863893427003297,-0.15586934736951183,0.23675048351818748
galaxyzoo,LCE,0.3,"[563, 1437]",383.0,579.0,-0.07450358867645258,1.0,2.0,-0.1128726027953435,0.08062046015195615,0.16149861529745235,-0.2708858011102241,0.04514059551953711
galaxyzoo,LCE,0.4,"[761, 1239]",437.0,473.0,-0.06087319850921626,1.0,2.0,0.0771884601244055,0.08117798094393439,0.34167816910796467,-0.08191745886338472,0.23629437911219572
galaxyzoo,LCE,0.5,"[994, 1006]",722.0,598.0,-0.0451071411371231,1.0,2.0,0.0661258476123332,0.06604539529850366,0.31672136011733254,-0.06332074851744499,0.19557244374211138
galaxyzoo,LCE,0.6,"[1167, 833]",384.0,308.0,-0.030537909269332822,1.0,2.0,-0.22619764600150427,0.09552668496875837,0.0178893660518144,-0.41342650810277437,-0.038968783900234144
galaxyzoo,LCE,0.7,"[1385, 615]",634.0,354.0,-0.011585173010826054,1.0,2.0,0.24977915586941934,0.07642567895874189,0.0010821007651983002,0.09998757761626462,0.39957073412257404
galaxyzoo,LCE,0.8,"[1602, 398]",605.0,289.0,0.015032535791397033,1.0,2.0,-0.15535212705937496,0.09007212069632148,0.08457206185293722,-0.33189023963530984,0.021185985516559952
galaxyzoo,LCE,0.9,"[1814, 186]",488.0,149.0,0.05550862252712244,1.0,2.0,0.0938864375157501,0.10560338802092886,0.3739775044353646,-0.11309239965067905,0.3008652746821793
galaxyzoo,SP,0.1,,,,,,,,,,,
galaxyzoo,SP,0.2,,,,,,,,,,,
galaxyzoo,SP,0.3,,,,,,,,,,,
galaxyzoo,SP,0.4,,,,,,,,,,,
galaxyzoo,SP,0.5,"[1042, 958]",1042.0,358.0,1.0728836059570312e-06,1.0,2.0,0.010482684248356133,0.19899223366943558,0.9579877819898053,-0.3795349269469163,0.4005002954436286
galaxyzoo,SP,0.6,"[1227, 773]",1227.0,173.0,1.1301040649414057e-05,1.0,2.0,-0.014746549106115725,0.15225205394914562,0.9228406253044389,-0.31315509141869047,0.283661993206459
galaxyzoo,SP,0.7,"[1417, 583]",50.0,32.0,0.0001534700393676699,1.0,2.0,0.15781762350896544,0.3052340686020147,0.605129606930283,-0.44043015780561146,0.7560654048235423
galaxyzoo,SP,0.8,"[1622, 378]",67.0,25.0,0.002360665798187241,1.0,2.0,0.4554369727851679,0.2838354485624728,0.10858604174334938,-0.10087028393304975,1.0117442295033856
galaxyzoo,SP,0.9,"[1790, 210]",16.0,16.0,0.058294177055358894,1.0,2.0,-1.0166025580803668,0.34396111440891225,0.0031208772812201706,-1.6907539544040957,-0.3424511617566378
galaxyzoo,OVA,0.1,"[227, 1773]",227.0,930.0,-0.9997574734508816,1.0,2.0,0.00015040198340343647,0.1357559422309265,0.9991160357775078,-0.26592635547651267,0.26622715944331954
galaxyzoo,OVA,0.2,"[409, 1591]",409.0,741.0,-0.997820094274357,1.0,2.0,0.06925367370302149,0.141412576827257,0.6243265093108898,-0.20790988383940567,0.34641723124544865
galaxyzoo,OVA,0.3,"[640, 1360]",640.0,505.0,-0.9878458368126303,1.0,2.0,0.021717419648985214,0.1118329612671089,0.8460230735982618,-0.19747115671901108,0.2409059960169815
galaxyzoo,OVA,0.4,"[827, 1173]",827.0,333.0,-0.9596069809049367,1.0,2.0,0.03539192663913737,0.12503735173579966,0.7771378700324386,-0.20967677948529678,0.2804606327635715
galaxyzoo,OVA,0.5,"[1035, 965]",1035.0,165.0,-0.8835098836570978,1.0,2.0,0.10757054687681133,0.13297486203970116,0.4185416046850158,-0.15305539357018533,0.368196487323808
galaxyzoo,OVA,0.6,"[1242, 758]",80.0,81.0,-0.6275412440299988,1.0,2.0,0.2722058553839314,0.20577955097473494,0.18590082170475708,-0.13111465328137328,0.675526364049236
galaxyzoo,OVA,0.7,"[1427, 573]",65.0,55.0,-0.1809771984815598,1.0,2.0,0.3793794139815938,0.21983497212311587,0.08439304465803406,-0.05148921392208006,0.8102480418852677
galaxyzoo,OVA,0.8,"[1600, 400]",42.0,64.0,0.39731629490852394,1.0,2.0,0.4360123395626776,0.30941876634105153,0.15879570595367853,-0.17043729860659773,1.042461977731953
