data,method,target_coverage,ATT,ci_l_ATT,ci_u_ATT,pv_rob_ATT,acc_hum,acc_ML,acc_system,N,N_h_l,N_h_r,c,p,q,coef_rob,se_rob,pv_rob,ci_rob_l,ci_rob_u
cifar10h,ASM,0.5,0.08631578947368412,0.06060954854361725,0.11202203040375125,4.6691969161134934e-11,0.937584803256445,0.9904988123515439,0.9705,"[1263, 737]",1263.0,92.0,-0.9450452867895351,1.0,2.0,-0.05288515020228313,0.12001895243455755,0.6594736459863667,-0.28811797443624176,0.1823476740316755
cifar10h,ASM,0.6,0.10775295663600526,0.07754961623719647,0.13795629703481405,2.703458263507271e-12,0.9373970345963756,0.9834888729361091,0.9705,"[1393, 607]",28.0,22.0,-0.6562523134052753,1.0,2.0,-0.007823562080913948,0.015414753504963463,0.6117778849484132,-0.038035923781204906,0.022388799619377005
cifar10h,ASM,0.7,0.1317957166392092,0.09674364394297352,0.16684778933544497,1.7132018159954192e-13,0.924892703862661,0.9765319426336375,0.9695,"[1534, 466]",35.0,48.0,0.16280813515186307,1.0,2.0,0.09854739238110133,0.15525162410045762,0.5255854949895011,-0.20574019939714627,0.40283498415934893
cifar10h,ASM,0.8,0.17788461538461542,0.13237957923444277,0.22338965153478801,1.8344062699417437e-14,0.919093851132686,0.9698403311649911,0.9665,"[1691, 309]",57.0,309.0,0.8547704666852951,1.0,2.0,-0.1503586374991528,0.18240415552627728,0.4097601118128332,-0.507864212961099,0.20714693796279338
cifar10h,ASM,0.9,0.30645161290322576,0.22750217737888012,0.38540104842757117,2.7872957144598128e-14,0.9124087591240876,0.9549114331723028,0.958,"[1863, 137]",208.0,137.0,0.990039819618687,1.0,2.0,-0.07770825055554897,0.17492578293442335,0.6568722958855975,-0.42055648507448995,0.265139983963392
galaxyzoo,RS,0.1,-0.09792949076664792,-0.12333297310145963,-0.0725260084318364,4.169681751048991e-14,0.6913207547169812,0.9807407407407407,0.7535,"[675, 1325]",675.0,644.0,-0.9999992868897608,1.0,2.0,-0.29931700951484363,0.08901424953760946,0.0007721940010151539,-0.47378173271941937,-0.12485228631026793
galaxyzoo,RS,0.2,-0.09171410499683741,-0.1196098590624772,-0.06381835093119767,1.1647228727166325e-10,0.6828665568369028,0.9732824427480916,0.7685,"[786, 1214]",786.0,529.0,-0.9999974023536424,1.0,2.0,-0.2652724448863777,0.13314180115774296,0.04632659427596526,-0.5262255799923472,-0.0043193097804082314
galaxyzoo,RS,0.3,-0.07805596465390285,-0.10915872960186933,-0.046953199705936324,8.709641632479014e-07,0.6857688634192932,0.9601259181532005,0.788,"[953, 1047]",953.0,361.0,-0.9999879667587948,1.0,2.0,-0.07833440681933046,0.13565751441333893,0.5636406081845913,-0.34421824930169803,0.1875494356630371
galaxyzoo,RS,0.4,-0.07248764415156506,-0.10621185046439041,-0.038763437838739805,2.5222983139753137e-05,0.6728110599078341,0.946113074204947,0.797,"[1132, 868]",1132.0,167.0,-0.9999228754541036,1.0,2.0,-0.6182358639244567,0.1287415107852125,1.5697214133439903e-06,-0.8705645883787482,-0.3659071394701653
galaxyzoo,RS,0.5,-0.03876739562624254,-0.07635584981285218,-0.001178941439632937,0.043234528157538345,0.6745810055865922,0.9369158878504673,0.8215,"[1284, 716]",1284.0,77.0,-0.9996874652460974,1.0,2.0,-0.26799225053877884,0.1705941453735168,0.11619783385369722,-0.602350631444262,0.06636613036670436
